id,name,applicability
"l10n_py_reports.tag_FLEF_OPERATIVAS","RES49_FE_OPERATIVAS_VENTAS","accounts"
"l10n_py_reports.tag_FLEF_OPERATIVAS_PAGO_PROVEEDORES_LOCALES","RES49_FE_OPERATIVAS_PAGO_PROVEEDORES_LOCALES","accounts"
"l10n_py_reports.tag_FLEF_OPERATIVAS_PAGO_PROVEEDORES_EXTERIOR","RES49_FE_OPERATIVAS_PAGO_PROVEEDORES_EXTERIOR","accounts"
"l10n_py_reports.tag_FLEF_OPERATIVAS_PAGO_EMPLEADOS","RES49_FE_OPERATIVAS_PAGO_EMPLEADOS","accounts"
"l10n_py_reports.tag_FLEF_OPERATIVAS_PAGO_OTRAS_ACTIVIDADES","RES49_FE_OPERATIVAS_PAGO_OTRAS_ACTIVIDADES","accounts"
"l10n_py_reports.tag_FLEF_OPERATIVAS_PAGO_IMPUESTOS","RES49_FE_OPERATIVAS_PAGO_IMPUESTOS","accounts"
"l10n_py_reports.tag_FLEF_INVERSION","RES49_FE_INVERSIONES_TEMPORARIAS","accounts"
"l10n_py_reports.tag_FLEF_INVERSIONES_LARGO_PLAZO","RES49_FE_INVERSIONES_LARGO_PLAZO","accounts"
"l10n_py_reports.tag_FLEF_INVERSIONES_PROPIEDAD","RES49_FE_INVERSIONES_PROPIEDAD","accounts"
"l10n_py_reports.tag_FLEF_FINANCIAMIENTO","RES49_FE_FINANCIAMIENTO_APORTE_CAPITAL","accounts"
"l10n_py_reports.tag_FLEF_FINANCIAMIENTO_PRESTAMOS","RES49_FE_FINANCIAMIENTO_PRESTAMOS","accounts"
"l10n_py_reports.tag_FLEF_FINANCIAMIENTO_DIVIDENDOS","RES49_FE_FINANCIAMIENTO_DIVIDENDOS","accounts"
"l10n_py_reports.tag_FLEF_FINANCIAMIENTO_INTERESES","RES49_FE_FINANCIAMIENTO_INTERESES","accounts"
"l10n_py_reports.tag_FLEF_DIFERENCIA_CAMBIO","RES49_FE_DIFERENCIA_CAMBIO","accounts"
