state_id/id,id,code,name
"l10n_py_set_cities.state_capital","l10n_py_set_cities.distrito_asuncion_(distrito)","1","ASUNCION (DISTRITO)"
"l10n_py_set_cities.state_concepcion","l10n_py_set_cities.distrito_belen","5","BELEN"
"l10n_py_set_cities.state_concepcion","l10n_py_set_cities.distrito_concepcion_(municipio)","2","CONCEPCION (MUNICIPIO)"
"l10n_py_set_cities.state_concepcion","l10n_py_set_cities.distrito_horqueta","7","HORQUETA"
"l10n_py_set_cities.state_concepcion","l10n_py_set_cities.distrito_loreto","6","LORETO"
"l10n_py_set_cities.state_concepcion","l10n_py_set_cities.distrito_san_carlos","4","SAN CARLOS"
"l10n_py_set_cities.state_concepcion","l10n_py_set_cities.distrito_san_lazaro","3","SAN LAZARO"
"l10n_py_set_cities.state_concepcion","l10n_py_set_cities.distrito_san_salvador","8","SAN SALVADOR"
"l10n_py_set_cities.state_concepcion","l10n_py_set_cities.distrito_sargento_jose_felix_lopez","270","SARGENTO JOSE FELIX LOPEZ"
"l10n_py_set_cities.state_concepcion","l10n_py_set_cities.distrito_yby_yau","9","YBY YA'U"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_antequera","11","ANTEQUERA"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_capiibary","226","CAPIIBARY"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_chore","23","CHORE"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_gral_e_aquino","12","GRAL. E.AQUINO"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_guayaibi","220","GUAYAIBI"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_isidoro_resquin","22","ISIDORO RESQUIN"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_itacurubi_del_rosario","13","ITACURUBI DEL ROSARIO"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_lima","15","LIMA"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_nueva_germania","16","NUEVA GERMANIA"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_san_estanislao_(santani)","14","SAN ESTANISLAO (SANTANI)"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_san_jose_del_rosario","25","SAN JOSE DEL ROSARIO"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_san_pablo","24","SAN PABLO"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_san_pedro_de_ycuamandyyu","10","SAN PEDRO DE YCUAMANDYYU"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_tacuati","17","TACUATI"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_union","18","UNION"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_villa_del_rosario","20","VILLA DEL ROSARIO"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_yataity_del_norte","21","YATAITY DEL NORTE"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_yrybucua","245","YRYBUCUA"
"l10n_py_set_cities.state_san_pedro","l10n_py_set_cities.distrito_45285","19","25 DE diciembre"
"l10n_py_set_cities.state_cordillera","l10n_py_set_cities.distrito_altos","27","ALTOS"
"l10n_py_set_cities.state_cordillera","l10n_py_set_cities.distrito_arroyos_y_esteros","28","ARROYOS Y ESTEROS"
"l10n_py_set_cities.state_cordillera","l10n_py_set_cities.distrito_atyra","29","ATYRA"
"l10n_py_set_cities.state_cordillera","l10n_py_set_cities.distrito_caacupe","26","CAACUPE"
"l10n_py_set_cities.state_cordillera","l10n_py_set_cities.distrito_caraguatay","30","CARAGUATAY"
